,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
47,2015/02/17,關山,PM2.5,8,11,14,13,18,20,22,25,26,24,14,17,17,18,22,25,27,26,23,29,39,40,39,44
48,2015/02/18,關山,PM2.5,42,36,32,31,33,30,30,33,32,31,27,23,24,22,22,25,31,27,19,19,20,22,19,17
49,2015/02/19,關山,PM2.5,19,17,16,18,16,16,16,17,20,19,17,18,18,21,25,27,28,27,26,24,23,19,20,21
50,2015/02/20,關山,PM2.5,15,13,14,12,12,15,16,18,17,13,12,8,6,7,9,11,12,13,14,15,25,27,21,17
51,2015/02/21,關山,PM2.5,14,13,10,6,7,11,11,12,13,11,8,9,11,9,10,12,11,12,15,17,23,22,16,12
52,2015/02/22,關山,PM2.5,12,10,6,4,3,8,8,6,5,3,6,7,4,5,6,8,10,13,20,21,22,18,16,21
53,2015/02/23,關山,PM2.5,19,16,17,17,18,16,13,18,20,17,14,12,11,11,9,10,11,10,12,13,12,10,11,10
54,2015/02/24,關山,PM2.5,5,4,5,6,10,7,6,13,20,17,11,11,12,12,11,11,11,11,12,14,11,9,9,7
55,2015/02/25,關山,PM2.5,6,5,4,6,4,5,9,9,10,8,9,11,10,7,7,8,7,8,8,5,7,8,6,6
56,2015/02/26,關山,PM2.5,6,8,7,6,6,7,6,5,6,8,7,8,7,8,11,11,10,14,9,12,12,16,22,23
57,2015/02/27,關山,PM2.5,25,18,8,7,8,9,10,8,8,9,6,7,7,6,6,4,5,8,9,6,6,9,8,6
58,2015/02/28,關山,PM2.5,7,9,5,6,12,12,10,9,12,12,10,9,3,2,4,6,9,10,8,6,6,6,7,6
59,2015/03/01,關山,PM2.5,6,6,5,3,4,9,10,11,17,12,4,3,4,6,6,5,3,3,3,4,5,2,1,2
60,2015/03/02,關山,PM2.5,6,6,6,2,3,8,8,6,6,4,5,5,2,4,2,1,1,4,3,4,5,2,4,6
61,2015/03/03,關山,PM2.5,3,4,6,5,6,4,4,6,6,9,11,6,4,5,6,9,6,6,8,12,13,10,9,9
62,2015/03/04,關山,PM2.5,14,22,16,6,1,1,6,8,12,17,18,15,12,13,13,18,23,14,24,20,17,19,16,14
63,2015/03/05,關山,PM2.5,17,17,17,16,14,13,15,17,14,13,10,6,5,2,1,6,6,6,6,5,4,6,6,6
64,2015/03/06,關山,PM2.5,6,6,3,4,6,5,6,10,17,15,13,14,11,7,5,4,6,6,6,3,1,1,2,6
65,2015/03/07,關山,PM2.5,7,10,10,7,6,6,6,6,6,10,11,7,6,7,6,9,11,12,12,12,11,9,7,5
66,2015/03/08,關山,PM2.5,5,7,8,10,11,8,6,8,8,7,6,6,6,3,3,2,1,2,7,8,8,8,7,7
